method,repeat,claim,category,recorded,reported,delta
direct,0,C1,support,1,1,0
direct,0,C1,oppose,0,0,0
direct,0,C1,insufficient_evidence,7,7,0
direct,0,C2,support,7,6,-1
direct,0,C2,oppose,1,1,0
direct,0,C2,insufficient_evidence,0,1,1
direct,0,C3,support,2,2,0
direct,0,C3,oppose,0,0,0
direct,0,C3,insufficient_evidence,6,6,0
direct,0,C4,support,1,1,0
direct,0,C4,oppose,7,7,0
direct,0,C4,insufficient_evidence,0,0,0
direct,0,C5,support,1,1,0
direct,0,C5,oppose,0,0,0
direct,0,C5,insufficient_evidence,7,7,0
direct,0,C6,support,1,1,0
direct,0,C6,oppose,0,0,0
direct,0,C6,insufficient_evidence,7,7,0
direct,0,C7,support,4,4,0
direct,0,C7,oppose,0,0,0
direct,0,C7,insufficient_evidence,4,4,0
direct,0,C8,support,4,3,-1
direct,0,C8,oppose,4,4,0
direct,0,C8,insufficient_evidence,0,1,1
direct,0,C9,support,0,0,0
direct,0,C9,oppose,0,0,0
direct,0,C9,insufficient_evidence,8,8,0
direct,0,C10,support,0,0,0
direct,0,C10,oppose,0,0,0
direct,0,C10,insufficient_evidence,8,8,0
direct,0,C11,support,4,4,0
direct,0,C11,oppose,4,4,0
direct,0,C11,insufficient_evidence,0,0,0
direct,0,C12,support,0,0,0
direct,0,C12,oppose,0,0,0
direct,0,C12,insufficient_evidence,8,8,0
direct,0,C13,support,4,4,0
direct,0,C13,oppose,4,4,0
direct,0,C13,insufficient_evidence,0,0,0
direct,0,C14,support,4,3,-1
direct,0,C14,oppose,4,4,0
direct,0,C14,insufficient_evidence,0,1,1
direct,0,C15,support,1,1,0
direct,0,C15,oppose,7,7,0
direct,0,C15,insufficient_evidence,0,0,0
direct,1,C1,support,1,1,0
direct,1,C1,oppose,0,0,0
direct,1,C1,insufficient_evidence,7,7,0
direct,1,C2,support,7,6,-1
direct,1,C2,oppose,1,1,0
direct,1,C2,insufficient_evidence,0,1,1
direct,1,C3,support,2,2,0
direct,1,C3,oppose,0,0,0
direct,1,C3,insufficient_evidence,6,6,0
direct,1,C4,support,1,1,0
direct,1,C4,oppose,7,7,0
direct,1,C4,insufficient_evidence,0,0,0
direct,1,C5,support,1,1,0
direct,1,C5,oppose,0,0,0
direct,1,C5,insufficient_evidence,7,7,0
direct,1,C6,support,1,1,0
direct,1,C6,oppose,0,0,0
direct,1,C6,insufficient_evidence,7,7,0
direct,1,C7,support,4,4,0
direct,1,C7,oppose,0,0,0
direct,1,C7,insufficient_evidence,4,4,0
direct,1,C8,support,4,3,-1
direct,1,C8,oppose,4,4,0
direct,1,C8,insufficient_evidence,0,1,1
direct,1,C9,support,0,0,0
direct,1,C9,oppose,0,0,0
direct,1,C9,insufficient_evidence,8,8,0
direct,1,C10,support,0,0,0
direct,1,C10,oppose,0,0,0
direct,1,C10,insufficient_evidence,8,8,0
direct,1,C11,support,4,4,0
direct,1,C11,oppose,4,4,0
direct,1,C11,insufficient_evidence,0,0,0
direct,1,C12,support,0,0,0
direct,1,C12,oppose,0,0,0
direct,1,C12,insufficient_evidence,8,8,0
direct,1,C13,support,4,4,0
direct,1,C13,oppose,4,4,0
direct,1,C13,insufficient_evidence,0,0,0
direct,1,C14,support,4,4,0
direct,1,C14,oppose,4,4,0
direct,1,C14,insufficient_evidence,0,0,0
direct,1,C15,support,1,1,0
direct,1,C15,oppose,7,7,0
direct,1,C15,insufficient_evidence,0,0,0
structured,0,C1,support,1,1,0
structured,0,C1,oppose,0,0,0
structured,0,C1,insufficient_evidence,7,7,0
structured,0,C2,support,7,6,-1
structured,0,C2,oppose,1,1,0
structured,0,C2,insufficient_evidence,0,1,1
structured,0,C3,support,2,2,0
structured,0,C3,oppose,0,0,0
structured,0,C3,insufficient_evidence,6,6,0
structured,0,C4,support,1,1,0
structured,0,C4,oppose,7,7,0
structured,0,C4,insufficient_evidence,0,0,0
structured,0,C5,support,1,1,0
structured,0,C5,oppose,0,0,0
structured,0,C5,insufficient_evidence,7,7,0
structured,0,C6,support,1,1,0
structured,0,C6,oppose,0,0,0
structured,0,C6,insufficient_evidence,7,7,0
structured,0,C7,support,4,4,0
structured,0,C7,oppose,0,0,0
structured,0,C7,insufficient_evidence,4,4,0
structured,0,C8,support,4,3,-1
structured,0,C8,oppose,4,4,0
structured,0,C8,insufficient_evidence,0,1,1
structured,0,C9,support,0,0,0
structured,0,C9,oppose,0,0,0
structured,0,C9,insufficient_evidence,8,8,0
structured,0,C10,support,0,0,0
structured,0,C10,oppose,0,0,0
structured,0,C10,insufficient_evidence,8,8,0
structured,0,C11,support,4,4,0
structured,0,C11,oppose,4,4,0
structured,0,C11,insufficient_evidence,0,0,0
structured,0,C12,support,0,0,0
structured,0,C12,oppose,0,0,0
structured,0,C12,insufficient_evidence,8,8,0
structured,0,C13,support,4,4,0
structured,0,C13,oppose,4,4,0
structured,0,C13,insufficient_evidence,0,0,0
structured,0,C14,support,4,3,-1
structured,0,C14,oppose,4,4,0
structured,0,C14,insufficient_evidence,0,1,1
structured,0,C15,support,1,1,0
structured,0,C15,oppose,7,7,0
structured,0,C15,insufficient_evidence,0,0,0
structured,1,C1,support,1,1,0
structured,1,C1,oppose,0,0,0
structured,1,C1,insufficient_evidence,7,7,0
structured,1,C2,support,7,6,-1
structured,1,C2,oppose,1,1,0
structured,1,C2,insufficient_evidence,0,1,1
structured,1,C3,support,2,2,0
structured,1,C3,oppose,0,0,0
structured,1,C3,insufficient_evidence,6,6,0
structured,1,C4,support,1,1,0
structured,1,C4,oppose,7,7,0
structured,1,C4,insufficient_evidence,0,0,0
structured,1,C5,support,1,1,0
structured,1,C5,oppose,0,0,0
structured,1,C5,insufficient_evidence,7,7,0
structured,1,C6,support,1,1,0
structured,1,C6,oppose,0,0,0
structured,1,C6,insufficient_evidence,7,7,0
structured,1,C7,support,4,4,0
structured,1,C7,oppose,0,0,0
structured,1,C7,insufficient_evidence,4,4,0
structured,1,C8,support,4,3,-1
structured,1,C8,oppose,4,4,0
structured,1,C8,insufficient_evidence,0,1,1
structured,1,C9,support,0,0,0
structured,1,C9,oppose,0,0,0
structured,1,C9,insufficient_evidence,8,8,0
structured,1,C10,support,0,0,0
structured,1,C10,oppose,0,0,0
structured,1,C10,insufficient_evidence,8,8,0
structured,1,C11,support,4,4,0
structured,1,C11,oppose,4,4,0
structured,1,C11,insufficient_evidence,0,0,0
structured,1,C12,support,0,0,0
structured,1,C12,oppose,0,0,0
structured,1,C12,insufficient_evidence,8,8,0
structured,1,C13,support,4,4,0
structured,1,C13,oppose,4,4,0
structured,1,C13,insufficient_evidence,0,0,0
structured,1,C14,support,4,3,-1
structured,1,C14,oppose,4,4,0
structured,1,C14,insufficient_evidence,0,1,1
structured,1,C15,support,1,1,0
structured,1,C15,oppose,7,7,0
structured,1,C15,insufficient_evidence,0,0,0
staged,0,C1,support,1,1,0
staged,0,C1,oppose,0,0,0
staged,0,C1,insufficient_evidence,7,7,0
staged,0,C2,support,7,6,-1
staged,0,C2,oppose,1,1,0
staged,0,C2,insufficient_evidence,0,1,1
staged,0,C3,support,2,2,0
staged,0,C3,oppose,0,0,0
staged,0,C3,insufficient_evidence,6,6,0
staged,0,C4,support,1,1,0
staged,0,C4,oppose,7,7,0
staged,0,C4,insufficient_evidence,0,0,0
staged,0,C5,support,1,1,0
staged,0,C5,oppose,0,0,0
staged,0,C5,insufficient_evidence,7,7,0
staged,0,C6,support,1,1,0
staged,0,C6,oppose,0,0,0
staged,0,C6,insufficient_evidence,7,7,0
staged,0,C7,support,4,4,0
staged,0,C7,oppose,0,0,0
staged,0,C7,insufficient_evidence,4,4,0
staged,0,C8,support,4,4,0
staged,0,C8,oppose,4,4,0
staged,0,C8,insufficient_evidence,0,0,0
staged,0,C9,support,0,0,0
staged,0,C9,oppose,0,0,0
staged,0,C9,insufficient_evidence,8,8,0
staged,0,C10,support,0,0,0
staged,0,C10,oppose,0,0,0
staged,0,C10,insufficient_evidence,8,8,0
staged,0,C11,support,4,4,0
staged,0,C11,oppose,4,4,0
staged,0,C11,insufficient_evidence,0,0,0
staged,0,C12,support,0,0,0
staged,0,C12,oppose,0,0,0
staged,0,C12,insufficient_evidence,8,8,0
staged,0,C13,support,4,4,0
staged,0,C13,oppose,4,4,0
staged,0,C13,insufficient_evidence,0,0,0
staged,0,C14,support,4,4,0
staged,0,C14,oppose,4,4,0
staged,0,C14,insufficient_evidence,0,0,0
staged,0,C15,support,1,1,0
staged,0,C15,oppose,7,7,0
staged,0,C15,insufficient_evidence,0,0,0
staged,1,C1,support,1,1,0
staged,1,C1,oppose,0,0,0
staged,1,C1,insufficient_evidence,7,7,0
staged,1,C2,support,7,6,-1
staged,1,C2,oppose,1,1,0
staged,1,C2,insufficient_evidence,0,0,0
staged,1,C3,support,2,2,0
staged,1,C3,oppose,0,0,0
staged,1,C3,insufficient_evidence,6,6,0
staged,1,C4,support,1,1,0
staged,1,C4,oppose,7,7,0
staged,1,C4,insufficient_evidence,0,0,0
staged,1,C5,support,1,1,0
staged,1,C5,oppose,0,0,0
staged,1,C5,insufficient_evidence,7,7,0
staged,1,C6,support,1,1,0
staged,1,C6,oppose,0,0,0
staged,1,C6,insufficient_evidence,7,7,0
staged,1,C7,support,4,4,0
staged,1,C7,oppose,0,0,0
staged,1,C7,insufficient_evidence,4,4,0
staged,1,C8,support,4,3,-1
staged,1,C8,oppose,4,4,0
staged,1,C8,insufficient_evidence,0,0,0
staged,1,C9,support,0,0,0
staged,1,C9,oppose,0,0,0
staged,1,C9,insufficient_evidence,8,8,0
staged,1,C10,support,0,0,0
staged,1,C10,oppose,0,0,0
staged,1,C10,insufficient_evidence,8,8,0
staged,1,C11,support,4,4,0
staged,1,C11,oppose,4,4,0
staged,1,C11,insufficient_evidence,0,0,0
staged,1,C12,support,0,0,0
staged,1,C12,oppose,0,0,0
staged,1,C12,insufficient_evidence,8,8,0
staged,1,C13,support,4,4,0
staged,1,C13,oppose,4,4,0
staged,1,C13,insufficient_evidence,0,0,0
staged,1,C14,support,4,4,0
staged,1,C14,oppose,4,4,0
staged,1,C14,insufficient_evidence,0,0,0
staged,1,C15,support,1,1,0
staged,1,C15,oppose,7,7,0
staged,1,C15,insufficient_evidence,0,0,0
reference_fed,0,C1,support,1,1,0
reference_fed,0,C1,oppose,0,0,0
reference_fed,0,C1,insufficient_evidence,7,7,0
reference_fed,0,C2,support,7,7,0
reference_fed,0,C2,oppose,1,1,0
reference_fed,0,C2,insufficient_evidence,0,0,0
reference_fed,0,C3,support,2,2,0
reference_fed,0,C3,oppose,0,0,0
reference_fed,0,C3,insufficient_evidence,6,6,0
reference_fed,0,C4,support,1,1,0
reference_fed,0,C4,oppose,7,7,0
reference_fed,0,C4,insufficient_evidence,0,0,0
reference_fed,0,C5,support,1,1,0
reference_fed,0,C5,oppose,0,0,0
reference_fed,0,C5,insufficient_evidence,7,7,0
reference_fed,0,C6,support,1,1,0
reference_fed,0,C6,oppose,0,0,0
reference_fed,0,C6,insufficient_evidence,7,7,0
reference_fed,0,C7,support,4,4,0
reference_fed,0,C7,oppose,0,0,0
reference_fed,0,C7,insufficient_evidence,4,4,0
reference_fed,0,C8,support,4,4,0
reference_fed,0,C8,oppose,4,4,0
reference_fed,0,C8,insufficient_evidence,0,0,0
reference_fed,0,C9,support,0,0,0
reference_fed,0,C9,oppose,0,0,0
reference_fed,0,C9,insufficient_evidence,8,8,0
reference_fed,0,C10,support,0,0,0
reference_fed,0,C10,oppose,0,0,0
reference_fed,0,C10,insufficient_evidence,8,8,0
reference_fed,0,C11,support,4,4,0
reference_fed,0,C11,oppose,4,4,0
reference_fed,0,C11,insufficient_evidence,0,0,0
reference_fed,0,C12,support,0,0,0
reference_fed,0,C12,oppose,0,0,0
reference_fed,0,C12,insufficient_evidence,8,8,0
reference_fed,0,C13,support,4,4,0
reference_fed,0,C13,oppose,4,4,0
reference_fed,0,C13,insufficient_evidence,0,0,0
reference_fed,0,C14,support,4,4,0
reference_fed,0,C14,oppose,4,4,0
reference_fed,0,C14,insufficient_evidence,0,0,0
reference_fed,0,C15,support,1,1,0
reference_fed,0,C15,oppose,7,7,0
reference_fed,0,C15,insufficient_evidence,0,0,0
reference_fed,1,C1,support,1,1,0
reference_fed,1,C1,oppose,0,0,0
reference_fed,1,C1,insufficient_evidence,7,7,0
reference_fed,1,C2,support,7,7,0
reference_fed,1,C2,oppose,1,1,0
reference_fed,1,C2,insufficient_evidence,0,0,0
reference_fed,1,C3,support,2,2,0
reference_fed,1,C3,oppose,0,0,0
reference_fed,1,C3,insufficient_evidence,6,6,0
reference_fed,1,C4,support,1,1,0
reference_fed,1,C4,oppose,7,7,0
reference_fed,1,C4,insufficient_evidence,0,0,0
reference_fed,1,C5,support,1,1,0
reference_fed,1,C5,oppose,0,0,0
reference_fed,1,C5,insufficient_evidence,7,7,0
reference_fed,1,C6,support,1,1,0
reference_fed,1,C6,oppose,0,0,0
reference_fed,1,C6,insufficient_evidence,7,7,0
reference_fed,1,C7,support,4,4,0
reference_fed,1,C7,oppose,0,0,0
reference_fed,1,C7,insufficient_evidence,4,4,0
reference_fed,1,C8,support,4,4,0
reference_fed,1,C8,oppose,4,4,0
reference_fed,1,C8,insufficient_evidence,0,0,0
reference_fed,1,C9,support,0,0,0
reference_fed,1,C9,oppose,0,0,0
reference_fed,1,C9,insufficient_evidence,8,8,0
reference_fed,1,C10,support,0,0,0
reference_fed,1,C10,oppose,0,0,0
reference_fed,1,C10,insufficient_evidence,8,8,0
reference_fed,1,C11,support,4,4,0
reference_fed,1,C11,oppose,4,4,0
reference_fed,1,C11,insufficient_evidence,0,0,0
reference_fed,1,C12,support,0,0,0
reference_fed,1,C12,oppose,0,0,0
reference_fed,1,C12,insufficient_evidence,8,8,0
reference_fed,1,C13,support,4,4,0
reference_fed,1,C13,oppose,4,4,0
reference_fed,1,C13,insufficient_evidence,0,0,0
reference_fed,1,C14,support,4,4,0
reference_fed,1,C14,oppose,4,4,0
reference_fed,1,C14,insufficient_evidence,0,0,0
reference_fed,1,C15,support,1,1,0
reference_fed,1,C15,oppose,7,7,0
reference_fed,1,C15,insufficient_evidence,0,0,0
