run,claim,reference_counts,reported_counts,reference_status,reported_status,mean_probability,mean_individual_entropy,between_participant_dispersion,coding
attendance/core/n8-words250,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words250,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words250,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words250,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words500,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words500,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words500,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words500,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words1000,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words1000,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words1000,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n8-words1000,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n32-words500,1,"[28, 0, 4]","[28, 0, 4]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n32-words500,2,"[4, 24, 4]","[4, 24, 4]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n32-words500,3,"[4, 0, 28]","[4, 0, 28]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n32-words500,4,"[20, 12, 0]","[20, 12, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n64-words500,1,"[56, 0, 8]","[56, 0, 8]",support consensus,support consensus,0.80375,0.6448533355319549,0.06951105943295033,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n64-words500,2,"[8, 48, 8]","[8, 48, 8]",mixed,mixed,0.29874999999999996,0.7547644404215244,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n64-words500,3,"[8, 0, 56]","[8, 0, 56]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/core/n64-words500,4,"[40, 24, 0]","[40, 24, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/feedback,1,"[4, 1, 3]","[4, 1, 3]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/feedback,2,"[3, 2, 3]","[3, 2, 3]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/feedback,3,"[4, 0, 4]","[4, 0, 4]",insufficient evidence,insufficient evidence,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/feedback,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/final-synthesis,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/final-synthesis,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/final-synthesis,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/stage/final-synthesis,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/reverse-order,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/reverse-order,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/reverse-order,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/reverse-order,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/paraphrase,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/paraphrase,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/paraphrase,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/paraphrase,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/verbosity,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/verbosity,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/verbosity,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/verbosity,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/prestige-labels,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/prestige-labels,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/prestige-labels,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/prestige-labels,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/repeat-statement,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/repeat-statement,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/repeat-statement,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/repeat-statement,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/shared-source-supporters,1,"[9, 0, 1]","[9, 0, 1]",support consensus,support consensus,0.8029999999999999,0.6602682874030362,0.05561907827974133,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/shared-source-supporters,2,"[1, 6, 3]","[1, 6, 3]",mixed,mixed,0.339,0.8038115523372197,0.12004700526506251,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/shared-source-supporters,3,"[1, 0, 9]","[1, 0, 9]",insufficient evidence,insufficient evidence,0.51,0.9678427597317647,0.0318686820210452,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/shared-source-supporters,4,"[5, 3, 2]","[5, 3, 2]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/new-contradictory-evidence,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/new-contradictory-evidence,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/new-contradictory-evidence,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/new-contradictory-evidence,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/remove-observation,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/remove-observation,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/remove-observation,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/perturbation/remove-observation,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-qualification,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,0.80375,0.6448533355319548,0.06951105943295044,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-qualification,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,0.29875,0.7547644404215246,0.12499309684203563,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-qualification,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,0.5125,0.9598034496647059,0.039745661160542456,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-qualification,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-probabilities,1,"[7, 0, 1]","[7, 0, 1]",support consensus,support consensus,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-probabilities,2,"[1, 6, 1]","[1, 6, 1]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-probabilities,3,"[1, 0, 7]","[1, 0, 7]",insufficient evidence,insufficient evidence,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
attendance/ablation/remove-probabilities,4,"[5, 3, 0]","[5, 3, 0]",mixed,mixed,,,,"Unblinded author coding. Counts and probability summaries are calculated, not independently predicted."
