method,claim,category,recorded,reported,missing
structured_feedback,C1,support,1,1,0
structured_final,C1,support,1,1,0
structured_feedback,C1,oppose,0,0,0
structured_final,C1,oppose,0,0,0
structured_feedback,C1,insufficient_evidence,7,5,0
structured_final,C1,insufficient_evidence,7,7,0
structured_feedback,C2,support,7,6,0
structured_final,C2,support,7,7,0
structured_feedback,C2,oppose,1,1,0
structured_final,C2,oppose,1,1,0
structured_feedback,C2,insufficient_evidence,0,0,0
structured_final,C2,insufficient_evidence,0,0,0
structured_feedback,C3,support,2,2,0
structured_final,C3,support,2,2,0
structured_feedback,C3,oppose,0,0,0
structured_final,C3,oppose,0,0,0
structured_feedback,C3,insufficient_evidence,6,5,0
structured_final,C3,insufficient_evidence,6,6,0
structured_feedback,C4,support,1,0,0
structured_final,C4,support,1,1,0
structured_feedback,C4,oppose,7,5,0
structured_final,C4,oppose,7,7,0
structured_feedback,C4,insufficient_evidence,0,0,0
structured_final,C4,insufficient_evidence,0,0,0
structured_feedback,C5,support,1,1,0
structured_final,C5,support,1,1,0
structured_feedback,C5,oppose,0,0,0
structured_final,C5,oppose,0,0,0
structured_feedback,C5,insufficient_evidence,7,6,0
structured_final,C5,insufficient_evidence,7,7,0
structured_feedback,C6,support,1,1,0
structured_final,C6,support,1,1,0
structured_feedback,C6,oppose,0,0,0
structured_final,C6,oppose,0,0,0
structured_feedback,C6,insufficient_evidence,7,6,0
structured_final,C6,insufficient_evidence,7,7,0
structured_feedback,C7,support,4,4,0
structured_final,C7,support,4,5,0
structured_feedback,C7,oppose,0,0,0
structured_final,C7,oppose,0,0,0
structured_feedback,C7,insufficient_evidence,4,3,0
structured_final,C7,insufficient_evidence,4,3,0
structured_feedback,C8,support,4,3,0
structured_final,C8,support,4,3,0
structured_feedback,C8,oppose,4,4,0
structured_final,C8,oppose,4,5,0
structured_feedback,C8,insufficient_evidence,0,1,0
structured_final,C8,insufficient_evidence,0,0,0
structured_feedback,C9,support,0,0,0
structured_final,C9,support,0,0,0
structured_feedback,C9,oppose,0,0,0
structured_final,C9,oppose,0,0,0
structured_feedback,C9,insufficient_evidence,8,6,0
structured_final,C9,insufficient_evidence,8,8,0
structured_feedback,C10,support,0,0,0
structured_final,C10,support,0,0,0
structured_feedback,C10,oppose,0,0,0
structured_final,C10,oppose,0,0,0
structured_feedback,C10,insufficient_evidence,8,6,0
structured_final,C10,insufficient_evidence,8,8,0
structured_feedback,C11,support,4,4,0
structured_final,C11,support,4,4,0
structured_feedback,C11,oppose,4,4,0
structured_final,C11,oppose,4,4,0
structured_feedback,C11,insufficient_evidence,0,0,0
structured_final,C11,insufficient_evidence,0,0,0
structured_feedback,C12,support,0,0,0
structured_final,C12,support,0,0,0
structured_feedback,C12,oppose,0,0,0
structured_final,C12,oppose,0,0,0
structured_feedback,C12,insufficient_evidence,8,7,0
structured_final,C12,insufficient_evidence,8,8,0
structured_feedback,C13,support,4,4,0
structured_final,C13,support,4,4,0
structured_feedback,C13,oppose,4,4,0
structured_final,C13,oppose,4,4,0
structured_feedback,C13,insufficient_evidence,0,0,0
structured_final,C13,insufficient_evidence,0,0,0
structured_feedback,C14,support,4,4,0
structured_final,C14,support,4,4,0
structured_feedback,C14,oppose,4,4,0
structured_final,C14,oppose,4,4,0
structured_feedback,C14,insufficient_evidence,0,0,0
structured_final,C14,insufficient_evidence,0,0,0
structured_feedback,C15,support,1,1,0
structured_final,C15,support,1,1,0
structured_feedback,C15,oppose,7,6,0
structured_final,C15,oppose,7,7,0
structured_feedback,C15,insufficient_evidence,0,0,0
structured_final,C15,insufficient_evidence,0,0,0
symphonia,D1,support,0,,8
symphonia,D1,oppose,0,,
symphonia,D1,insufficient_evidence,0,,
symphonia,D2,support,0,,8
symphonia,D2,oppose,0,,
symphonia,D2,insufficient_evidence,0,,
symphonia,D3,support,2,,0
symphonia,D3,oppose,0,,
symphonia,D3,insufficient_evidence,6,,
symphonia,D4,support,0,,8
symphonia,D4,oppose,0,,
symphonia,D4,insufficient_evidence,0,,
symphonia,D5,support,1,,0
symphonia,D5,oppose,0,,
symphonia,D5,insufficient_evidence,7,,
symphonia,D6,support,1,,0
symphonia,D6,oppose,0,,
symphonia,D6,insufficient_evidence,7,,
symphonia,D7,support,0,,8
symphonia,D7,oppose,0,,
symphonia,D7,insufficient_evidence,0,,
