scenario,form_id,arm,round,participant,claim,claim_text,kind,vote,correct,reason
attendance,23,feedback,2,P01,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,2,P01,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Disagree,True,The shared A2 subgroup counts are 10/25 in each group; benefit was not demonstrated.
attendance,23,feedback,2,P01,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P01,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,23,feedback,2,P02,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,2,P02,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P02,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P02,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,23,feedback,2,P03,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P03,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P03,3,The alerts improve attainment over two years.,unresolved,Unable to judge,,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
attendance,23,feedback,2,P03,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Disagree,,Universal access is fairer and may avoid eligibility barriers.
attendance,23,feedback,2,P04,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Disagree,False,"I doubt this proposition, but I do not have direct data to settle it."
attendance,23,feedback,2,P04,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Agree,False,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P04,3,The alerts improve attainment over two years.,unresolved,Agree,,"I currently lean toward this proposition based on an unverified expectation, not direct outcome data."
attendance,23,feedback,2,P04,4,The district should prioritise a targeted expansion over immediate universal rollout.,normative,Agree,,Targeting may avoid spending on groups without demonstrated benefit.
attendance,23,feedback,2,P05,1,"In this one-term pilot, the attendance recovery rate was 20 percentage points higher in the alert group than in the control group.",factual,Agree,True,The shared A1 counts are 60/100 versus 40/100: a 20 percentage-point difference.
attendance,23,feedback,2,P05,2,The pilot demonstrated an attendance benefit for pupils with caregiver work-schedule conflicts.,factual,Unable to judge,False,My packet does not establish this proposition; I need the relevant outcome counts and follow-up.
